network_seed,scenario,mean_distance_realized_cost,mean_free_flow_realized_cost,mean_ml_realized_cost,mean_expected_oracle_route_realized_cost,mean_ml_improvement_vs_distance_percent,mean_ml_improvement_vs_free_flow_percent,mean_draw_level_ml_improvement_vs_free_flow_percent,distance_realized_std,free_flow_realized_std,ml_realized_std,distance_p90_realized_cost,free_flow_p90_realized_cost,ml_p90_realized_cost,expected_oracle_route_p90_realized_cost,ml_p90_improvement_vs_free_flow_percent,probability_ml_beats_free_flow,probability_ml_beats_distance,decision_scenario_index,realization_count,win_probability,tie_probability,loss_probability,mean_savings_minutes,median_savings_minutes,conditional_win_probability,expected_ml_improvement_vs_free_flow_percent,expected_outcome_vs_free_flow,expected_ml_regret_vs_oracle_percent
11,weekday_rush,179.02794116542412,117.3325576810608,115.41769031655868,115.41769031655868,35.5309067594587,1.632000019727848,1.3996976366722782,9.855296935375804,8.281852996368098,8.997093070490132,192.0285258424857,127.99199332924624,127.6898827339476,127.6898827339476,0.2360386672949772,0.63,1.0,45,100,0.63,0.0,0.37,1.9148673645020935,2.1862022251224715,0.63,0.423188489443954,win,0.0
11,weekend_midday,134.02562518274246,90.3932992361352,89.85213482222439,90.3932992361352,32.95898847723188,0.5986775773026248,0.565052581250573,8.343855157054074,7.519445828027578,8.475817200105883,143.9661446323031,99.82098912611266,99.7905296064026,99.82098912611264,0.0305141433447387,0.53,1.0,46,100,0.53,0.0,0.47,0.5411644139108273,0.3444206288778844,0.53,-0.5142246432863165,loss,0.5142246432863165
11,weekend_evening,179.0871072484848,107.62678837537128,99.5110752374656,99.5110752374656,44.43426064200525,7.540606999811633,7.494661138960485,7.658123608575899,7.999269224281805,7.881330609750635,188.81391972015015,117.25268640306513,109.86805647988145,109.86805647988145,6.298047532828745,0.99,1.0,47,100,0.99,0.0,0.01,8.115713137905662,7.732802015585399,0.99,6.654371648491242,win,0.0
12,weekday_midday,189.85180137974743,156.2281351419505,156.22813514195047,156.22813514195047,17.710480487115255,1.819243979618636e-14,-3.4136851483451575e-16,7.970852818015908,9.06448258607981,9.06448258607981,200.69747992886204,167.97034026753693,167.97034026753693,167.97034026753693,0.0,0.04,1.0,48,100,0.0,1.0,0.0,-5.684341886080802e-16,0.0,,0.0,tie,0.0
12,weekday_rush,227.4315099447497,200.893363501428,197.82914870594104,197.82914870594104,13.01594543605679,1.525294186965597,1.4880586045462434,7.910665173749947,7.715244933378138,8.11538552636155,237.84841268621156,210.56564934414055,209.40139461249635,209.40139461249635,0.5529176934939621,0.6,1.0,49,100,0.6,0.0,0.4,3.0642147954869223,2.651314162098572,0.6,1.5298676366174364,win,0.0
12,weekend_midday,171.7547244928441,140.3077264905324,140.30772649053236,140.3077264905324,18.30924773403944,2.025669586508611e-14,2.4858051302371065e-18,7.031219276281806,7.445736626144719,7.445736626144719,180.79072435732144,148.77519493450328,148.77519493450328,148.77519493450328,0.0,0.02,1.0,50,100,0.0,1.0,0.0,0.0,0.0,,0.0,tie,0.0
12,weekend_evening,206.06651294281517,180.97387588999587,174.3718096707308,174.3718096707308,15.380812155966286,3.648076931986631,3.626833532461292,8.273575308229065,7.254646091502287,7.302653643232918,215.88667300813833,189.8496582264854,183.73810911178572,183.73810911178572,3.2191520236548232,0.98,1.0,51,100,0.98,0.0,0.02,6.60206621926501,6.08580077319094,0.98,3.9736800913883825,win,0.0
13,weekday_midday,136.8056541633025,89.12153219064345,90.82053241038577,89.12153219064345,33.61346578411526,-1.906385783525262,-2.2308451256017916,8.642520414583432,8.000446641167876,8.648485547673939,146.55104455640554,98.38144719369312,102.75687106957044,98.38144719369312,-4.447407515019568,0.38,1.0,52,100,0.38,0.0,0.62,-1.699000219742316,-1.8591045922647567,0.38,-1.703146804445792,loss,1.7031468044457758
13,weekday_rush,150.2293061431511,117.91494186518456,110.71579545464192,110.71579545464192,26.302132189079924,6.105372480082835,5.917328141798265,8.367985549989607,8.569193033700008,8.272127813778507,160.70378783069103,129.5935941530499,121.20997119579349,121.20997119579349,6.469164631204993,0.82,1.0,53,100,0.82,0.0,0.18,7.199146410542632,8.548197386550115,0.82,6.305112476409355,win,0.0
13,weekend_midday,106.93668659164832,88.7569704890404,86.20102327491595,86.20102327491595,19.390598285426773,2.8797143481142693,2.64023059471085,8.447084809733521,7.283184746812199,7.502621226987046,116.17535812515656,97.34289931636314,96.1138551914478,96.1138551914478,1.262592478287457,0.61,1.0,54,100,0.61,0.0,0.39,2.555947214124454,1.934465039855155,0.61,2.285683029814435,win,0.0
13,weekend_evening,141.33290894441893,100.23254814288352,100.23254814288352,100.23254814288352,29.08053128496682,0.0,0.0,7.631522584622857,8.12648817666151,8.12648817666151,150.51282948202473,111.2790424439078,111.2790424439078,111.2790424439078,0.0,0.0,1.0,55,100,0.0,1.0,0.0,0.0,0.0,,0.0,tie,0.0
14,weekday_midday,139.61287297663574,114.3814348880652,109.74468408661436,108.8397760178686,21.393578008397434,4.053761701790518,3.802842023281966,8.128771621535734,8.702549389395116,8.269706805618588,149.31068439871754,123.85311556481916,121.14317833170972,118.33813517051182,2.188025081768064,0.69,1.0,56,100,0.69,0.0,0.31,4.6367508014508285,4.51811048381407,0.69,3.715323886953749,win,0.5601602672003232
14,weekday_rush,186.42177438455548,127.96687227883533,124.29825999659204,124.29825999659204,33.32417288326712,2.8668453146604196,2.8008530677507197,8.89508538326201,8.378535021862309,8.000732489696812,197.21882830767248,138.81191253172352,134.64301482377988,134.6430148237799,3.0032708518376614,0.78,1.0,57,100,0.78,0.0,0.22,3.6686122822432594,3.8715263761525875,0.78,3.372833185148796,win,0.0
