instance,num_customers,seed,num_vehicles,time_limit_seconds,status,feasible,distance,runtime_seconds,best_bound,mip_gap_percent,node_count,solution_count,gurobi_status
cvrp_n20_seed4,20,4,4,1.0,FEASIBLE,True,148.60580538111864,1.0217307080165483,112.7695540569692,24.114973995963872,1775.0,10,9
cvrp_n20_seed5,20,5,4,0.01,NO_SOLUTION,False,,0.030629040964413434,,,,0,9
cvrp_n20_seed5,20,5,4,0.05,FEASIBLE,True,243.75761339450509,0.07906508399173617,80.99979889519739,66.77035118320399,1.0,4,9
cvrp_n20_seed5,20,5,4,0.1,FEASIBLE,True,211.51814668514072,0.12221450003562495,98.43586633741775,53.46221216473389,1.0,5,9
cvrp_n20_seed5,20,5,4,0.5,FEASIBLE,True,158.03268064013793,0.5224605829571374,99.60327782096533,36.97298722169015,1028.0,10,9
cvrp_n20_seed5,20,5,4,1.0,FEASIBLE,True,158.03268064013793,1.0223149160156026,102.22968465678525,35.31104816884284,2284.0,10,9
cvrp_n20_seed6,20,6,4,0.01,NO_SOLUTION,False,,0.030581082974094898,,,,0,9
cvrp_n20_seed6,20,6,4,0.05,FEASIBLE,True,191.96689225106837,0.07765895902412012,77.11280049194728,59.83015634222306,1.0,2,9
cvrp_n20_seed6,20,6,4,0.1,FEASIBLE,True,188.04201430870316,0.12796129198977724,102.63577951716692,45.41869810611966,1.0,3,9
cvrp_n20_seed6,20,6,4,0.5,FEASIBLE,True,176.14627826990937,0.5205516669666395,103.52472166880355,41.227982398712754,136.0,7,9
cvrp_n20_seed6,20,6,4,1.0,FEASIBLE,True,162.44152957891018,1.0221759579726495,104.16059648339484,35.87809918226845,2174.0,10,9
cvrp_n20_seed7,20,7,4,0.01,NO_SOLUTION,False,,0.030257167003583163,,,,0,9
cvrp_n20_seed7,20,7,4,0.05,FEASIBLE,True,171.2109877595609,0.08257487503578886,87.9533918967754,48.62865225665761,1.0,7,9
cvrp_n20_seed7,20,7,4,0.1,FEASIBLE,True,171.2109877595609,0.12154550000559539,103.28967291760048,39.67111908573608,1.0,7,9
cvrp_n20_seed7,20,7,4,0.5,FEASIBLE,True,165.1301549287567,0.5241645000060089,106.33597759660942,35.604749088689026,416.0,10,9
cvrp_n20_seed7,20,7,4,1.0,FEASIBLE,True,164.21291745905486,1.023529791040346,107.12926358925694,34.7619753385304,943.0,10,9
cvrp_n20_seed8,20,8,4,0.01,NO_SOLUTION,False,,0.029627167037688196,,,,0,9
cvrp_n20_seed8,20,8,4,0.05,FEASIBLE,True,261.1336789181788,0.07158899999922141,84.97068135534744,67.46084928326256,1.0,1,9
cvrp_n20_seed8,20,8,4,0.1,FEASIBLE,True,216.0714709015116,0.12347683298867196,102.77338508028882,52.435467462923704,1.0,3,9
cvrp_n20_seed8,20,8,4,0.5,FEASIBLE,True,166.58034427201287,0.5239620420034043,104.90522631211094,37.02424690586016,1256.0,10,9
cvrp_n20_seed8,20,8,4,1.0,FEASIBLE,True,158.24611751202158,1.0303105830098502,105.0017886488031,33.64653092305638,2422.0,10,9
cvrp_n20_seed9,20,9,4,0.01,NO_SOLUTION,False,,0.029362166998907924,,,,0,9
cvrp_n20_seed9,20,9,4,0.05,FEASIBLE,True,164.27611605601425,0.07683120900765061,76.50265259809952,53.430447203893024,1.0,7,9
cvrp_n20_seed9,20,9,4,0.1,FEASIBLE,True,155.51327693118856,0.12739162502111867,89.2103790431641,42.63487928259793,1.0,10,9
cvrp_n20_seed9,20,9,4,0.5,FEASIBLE,True,139.78939637391306,0.522496541030705,95.16949835210512,31.919372412523504,210.0,10,9
cvrp_n20_seed9,20,9,4,1.0,FEASIBLE,True,139.78939637391306,1.0219025409896858,97.34439819189608,30.363532058242654,1285.0,10,9
